No, param001, param002, param003, param004, param005, param006, param007, param008, param009, param010, param011, param101, param102, param103, param104, param105, param106, param111, param112, param113, param114, param115, param116, param201, param202, param301, param302, param303, param304, param311, param314, param401, param402, param411, param412, param501
0, 14, 8.7, 2.3, 6, 2.2, 0, 0.3, 3.2, 0.8, 6.3, 0.5, 11, _Clay, 44, 35, 130, 63400, 14, çªéøìy, _Sandy, 31, 44, 70, 5, _SY390, 47, 1, 0, 1, 74, 1, 1.7, 0.1, 0.9, 0.2, 0.2
1, 18, 9.9, 7.7, 17.3, 7.6, 1.4, 2.5, 2.6, 5.7, 6.7, 5.1, 14, _Clay, 29, 6, 139, 107200, 14, çªéøìy, _Sandy, 37, 26, 142, 4, _SY390, 43, 0, 0, 2, 71, 1, 3.4, 0.4, 3.2, 0.7, 0.1
2, 22, 11.2, 5, 10.9, 4.9, 0.2, 1.8, 1.3, 2.2, 6.4, 1.9, 17, _Clay, 14, 22, 149, 151000, 14, çªéøìy, _Sandy, 43, 8, 213, 4, _SY295, 39, 1, 1, 2, 69, 1, 3.8, 1.6, 4.9, 1.1, 0.4
3, 30, 7.2, 6.5, 16.4, 6.4, 0.4, 2.5, 1.5, 6.1, 5.5, 4.4, 17, _Sandy, 24, 22, 66, 135100, 16, çªéøìy, _Sandy, 50, 5, 125, 2, _SY390, 58, 1, 1, 2, 62, 2, 2.8, 0.8, 4.7, 0.8, 0.5
4, 13, 8.4, 3.8, 10, 3.7, 0.8, 1.4, 6.1, 2.3, 1.4, 2, 11, _Sandy, 8, 38, 76, 178800, 16, çªéøìy, _Sandy, 5, 32, 196, 1, _SY390, 54, 0, 1, 1, 59, 2, 2.7, 0.1, 2.3, 0.9, 0.4
5, 17, 9.7, 9.2, 11.8, 9.1, 0.8, 5.2, 6.5, 8.3, 0.5, 8, 14, _Clay, 44, 9, 85, 23600, 16, çªéøìy, _Sandy, 11, 15, 268, 5, _SY390, 50, 1, 1, 1, 57, 2, 5.2, 4.6, 6, 0, 0.2
6, 24, 5.7, 2.6, 9.2, 2.5, 0.2, 0.9, 8.9, 1.9, 10, 1.3, 14, _Clay, 3, 9, 3, 7700, 18, îSê´ìy, _Clay, 17, 11, 179, 3, _SY295, 69, 1, 1, 1, 50, 1, 1.6, 0.2, 2.2, 0.6, 0.3
7, 28, 7, 8, 10.9, 7.9, 2.1, 4.9, 8.1, 5.5, 9.4, 5.2, 17, _Clay, 39, 25, 12, 51500, 18, çªéøìy, _Sandy, 23, 39, 251, 2, _SY295, 65, 0, 0, 1, 47, 1, 7.7, 0.3, 6.8, 0.2, 0.2
8, 12, 8.2, 5.3, 14.1, 5.2, 0.7, 3.4, 2.6, 4.4, 3.1, 4.1, 20, _Sandy, 24, 41, 21, 95300, 18, çªéøìy, _Sandy, 30, 21, 23, 1, _SY295, 61, 0, 0, 2, 45, 1, 4.1, 2.8, 4.2, 1.3, 0.5
9, 19, 4.2, 6.8, 10, 6.7, 0.9, 4.5, 3.8, 5.6, 2.9, 4.8, 20, _Sandy, 34, 41, 239, 79300, 20, îSê´ìy, _Clay, 36, 17, 234, 4, _SY390, 80, 1, 0, 1, 38, 2, 6.3, 1.1, 4.5, 0.4, 0.2
