No,a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,c1,c2,d1,e1_0,e1_1,e2_0,e2_1,e3_0,e3_1,e4_0,e4_1,e5_0,e5_1,e6_0,e6_1,e7_0,e7_1,e8_0,e8_1,e9_0,e9_1,e10_0,e10_1,e11_0,e11_1,e12_0,e12_1
10001,999.99,999.99,999.99,999.99,999.99,999.99,9.94,155.32,8.50,145.08,15.26,13.66,999.99,192,180,9,83,208,270,10,125,287,102,307,153,14,110,0,165,4222,140,4522,210,16,140,0,210
10002,999.99,11.68,11.68,3.17,2.96,3.00,9.09,27.35,4.20,10.52,11.00,7.75,999.99,26,180,2,83,30,270,3,125,0,110,0,165,6,102,9,153,0,140,0,210,172,140,229,210
10003,999.99,999.99,999.99,999.99,999.99,999.99,273.90,34.89,9.12,36.65,999.99,71.19,999.99,0,235,0,110,1,353,0,165,0,94,0,141,0,102,1,153,0,185,0,280,6,185,17,280
10004,999.99,999.99,999.99,999.99,999.99,999.99,33.40,49.01,10.30,36.48,999.99,56.82,999.99,1,235,0,110,0,353,0,165,0,102,0,153,1,86,0,129,0,185,0,280,6,185,0,280
10005,999.99,999.99,999.99,999.99,999.99,999.99,55.66,139.93,11.02,111.39,999.99,26.55,999.99,2,180,0,83,0,270,0,125,0,94,0,141,1,102,0,153,0,140,0,210,2,140,0,210
10006,999.99,31.42,31.42,999.99,4.90,4.90,11.17,7.32,7.52,6.81,41.82,68.81,999.99,5,235,0,110,1,353,0,165,0,102,0,153,29,102,6,153,0,140,0,210,498,140,107,210
10007,999.99,999.99,999.99,999.99,999.99,999.99,39.25,44.80,6.99,40.16,999.99,73.84,999.99,4,235,0,110,1,353,0,165,0,86,0,129,17,86,3,129,0,140,0,210,44,140,9,210
10008,999.99,999.99,999.99,999.99,26.97,26.97,17.53,80.96,10.24,71.50,25.54,38.83,999.99,9,235,1,110,4,353,0,165,0,102,0,153,14,94,5,141,0,140,0,210,24,140,8,210
10009,999.99,999.99,999.99,999.99,7.41,7.41,26.25,359.39,11.05,440.37,59.23,32.14,999.99,3,180,0,83,8,270,0,125,0,86,0,129,1,110,2,165,0,140,0,210,0,140,0,210
10010,999.99,999.99,999.99,999.99,999.99,999.99,54.97,116.67,20.06,126.78,999.99,999.99,999.99,1,180,0,83,1,270,0,125,0,86,1,129,8,94,9,141,5,185,11,280,25,185,27,280
10011,999.99,12.80,12.80,999.99,2.44,2.44,9.20,49.11,5.53,47.70,14.95,20.33,999.99,56,235,3,110,49,353,3,165,0,110,0,165,8,86,6,129,0,185,0,280,112,185,81,280
10012,999.99,999.99,999.99,999.99,5.34,5.34,64.84,221.11,7.26,333.92,999.99,23.87,999.99,0,235,0,110,6,353,1,165,0,94,0,141,0,102,26,153,0,185,0,280,1,185,296,280
10013,999.99,81.48,81.48,999.99,17.70,17.70,14.03,22.88,7.83,18.67,38.40,62.44,999.99,3,180,0,83,1,270,0,125,1,102,0,153,20,86,1,129,7,140,0,210,670,140,49,210
10014,999.99,999.99,999.99,999.99,999.99,999.99,70.45,107.56,32.41,104.67,999.99,999.99,999.99,7,180,0,83,2,270,0,125,0,94,0,141,5,102,2,153,0,140,0,210,139,140,47,210
10015,999.99,18.65,18.65,999.99,1.85,1.85,29.17,73.88,15.68,75.45,54.91,50.59,999.99,7,180,1,83,8,270,1,125,0,102,0,153,4,86,5,129,0,140,0,210,12,140,15,210
10016,999.99,57.26,91.36,8.85,6.30,19.06,5.25,83.78,3.14,51.20,3.75,1.71,999.99,12,235,0,110,15,353,1,165,0,86,0,129,4,102,2,153,0,140,0,210,18,140,7,210
10017,999.99,0.93,0.93,999.99,0.87,0.87,6.53,34.70,5.10,33.06,22.84,18.39,999.99,70,180,3,83,48,270,3,125,0,102,0,153,29,86,19,129,0,140,0,210,183,140,121,210
10018,999.99,999.99,999.99,999.99,25.76,25.76,22.99,142.00,6.61,147.42,41.08,25.11,999.99,8,180,0,83,7,270,0,125,0,86,0,129,12,110,11,165,0,185,4,280,37,185,35,280
10019,999.99,999.99,999.99,999.99,999.99,999.99,27.88,43.46,19.61,44.93,43.27,95.81,999.99,1,180,0,83,0,270,0,125,0,86,0,129,0,94,1,141,0,185,1,280,1,185,1,280
10020,999.99,999.99,999.99,999.99,9.45,9.45,22.03,172.92,10.93,173.80,53.91,46.10,999.99,6,180,0,83,5,270,0,125,0,102,0,153,0,102,0,153,0,185,0,280,1,185,1,280
10021,999.99,999.99,999.99,18.28,11.22,11.22,14.18,22.75,3.83,16.73,21.52,49.66,999.99,3,180,0,83,0,270,0,125,0,86,0,129,1,86,0,129,0,185,0,280,60,185,3,280
10022,999.99,88.81,88.81,5.47,5.47,5.85,8.31,40.64,1.57,4.88,8.29,1.74,999.99,3,235,0,110,3,353,0,165,1,102,0,153,2,102,2,153,1,140,0,210,11,140,11,210
10024,999.99,88.22,88.22,3.92,3.92,6.87,6.26,9.46,1.42,1.56,10.21,1.51,999.99,15,180,1,83,12,270,1,125,0,102,0,153,1,102,0,153,0,140,0,210,7,140,0,210
10025,999.99,999.99,999.99,1.71,1.37,1.37,238.45,82.17,3.27,21.88,999.99,83.45,999.99,0,180,0,83,0,270,0,125,0,102,0,153,0,86,0,129,0,185,0,280,0,185,0,280
10026,999.99,999.99,999.99,55.60,4.73,4.73,480.68,42.59,16.30,47.25,999.99,67.40,999.99,0,235,0,110,1,353,0,165,0,86,0,129,0,86,1,129,0,185,1,280,1,185,7,280
10027,999.99,21.42,21.42,999.99,35.33,35.33,6.55,15.94,6.38,13.75,25.22,26.59,999.99,7,235,0,110,2,353,0,165,0,110,0,165,12,86,3,129,0,185,0,280,59,185,15,280
