No,a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,c1,c2,d1,e1_0,e1_1,e2_0,e2_1,e3_0,e3_1,e4_0,e4_1,e5_0,e5_1,e6_0,e6_1,e7_0,e7_1,e8_0,e8_1,e9_0,e9_1,e10_0,e10_1,e11_0,e11_1,e12_0,e12_1
0,999.99,999.99,999.99,999.99,55.64,55.64,45.41,287.54,20.50,247.76,64.50,999.99,11.71,2,235,0,110,1,353,0,165,3,102,1,153,5,102,1,153,8,140,3,210,63,140,17,210
1,999.99,999.99,999.99,999.99,999.99,999.99,17.07,11.20,11.78,11.26,25.82,27.82,36.67,0,235,0,110,0,353,0,165,0,86,0,129,0,86,0,129,0,140,0,210,0,140,0,210
2,999.99,999.99,999.99,999.99,14.83,14.83,31.37,71.32,5.24,76.86,47.70,23.43,12.50,2,180,0,83,2,270,0,125,3,110,5,165,3,102,3,153,4,185,6,280,26,185,32,280
3,999.99,999.99,999.99,999.99,2.96,2.96,27.20,20.09,3.90,22.64,88.45,7.35,99.67,0,235,0,110,0,353,0,165,0,102,0,153,0,102,0,153,0,185,0,280,0,185,2,280
4,999.99,999.99,999.99,999.99,66.42,66.42,24.55,115.28,8.68,120.61,73.22,999.99,17.69,1,235,0,110,1,353,0,165,0,86,0,129,0,86,0,129,0,185,0,280,0,185,0,280
5,999.99,999.99,999.99,999.99,999.99,999.99,61.55,7.20,3.98,6.01,79.63,12.26,999.99,0,235,0,110,0,353,0,165,0,102,0,153,0,102,0,153,0,185,0,280,0,185,0,280
6,999.99,999.99,999.99,999.99,3.46,3.46,20.84,91.38,11.63,94.33,44.71,51.63,2.86,6,180,0,83,5,270,0,125,2,86,3,129,11,102,11,153,28,140,45,210,55,140,53,210
7,999.99,999.99,999.99,999.99,20.23,20.23,3.77,6.01,2.19,5.73,4.57,1.97,7.07,5,180,0,83,12,270,1,125,0,86,0,129,0,102,0,153,0,140,3,210,0,140,0,210
8,999.99,999.99,999.99,999.99,3.98,3.98,48.83,210.84,2.66,188.51,76.63,1.58,42.71,1,180,0,83,2,270,0,125,0,86,0,129,1,86,0,129,0,140,0,210,1,140,0,210
9,999.99,999.99,999.99,999.99,999.99,999.99,39.15,253.29,30.33,224.38,99.93,999.99,8.89,1,235,0,110,0,353,0,165,0,102,0,153,0,94,0,141,0,140,0,210,0,140,0,210
10,999.99,999.99,999.99,999.99,999.99,999.99,29.45,36.36,12.93,42.58,46.62,44.08,65.75,1,235,0,110,10,353,1,165,0,86,0,129,0,110,5,165,0,140,0,210,0,140,7,210
11,999.99,999.99,999.99,999.99,999.99,999.99,33.12,15.46,8.18,14.88,999.99,999.99,102.33,0,180,0,83,0,270,0,125,0,102,0,153,0,102,0,153,0,140,0,210,0,140,0,210
12,999.99,4.60,4.60,999.99,2.88,2.88,19.75,392.83,24.46,306.09,82.58,999.99,3.08,11,235,1,110,0,353,0,165,0,86,0,129,14,102,0,153,0,185,0,280,211,185,3,280
13,999.99,999.99,999.99,999.99,2.55,3.28,121.42,254.56,4.37,325.20,999.99,32.96,33.20,0,180,0,83,28,270,2,125,0,86,0,129,0,86,4,129,0,185,0,280,1,185,85,280
14,999.99,3.80,3.80,999.99,2.11,2.11,6.01,16.68,5.70,16.79,13.98,15.70,3.95,13,180,1,83,15,270,1,125,0,110,0,165,6,102,9,153,0,185,0,280,97,185,134,280
15,999.99,999.99,999.99,999.99,18.44,18.44,150.37,89.37,16.66,90.94,999.99,999.99,22.71,1,180,0,83,0,270,0,125,0,86,0,129,2,102,2,153,5,185,6,280,27,185,23,280
16,999.99,999.99,999.99,7.33,2.75,2.83,15.40,31.20,2.81,26.07,36.20,10.64,11.64,7,235,0,110,11,353,1,165,5,86,22,129,12,86,29,129,25,185,102,280,175,185,410,280
17,999.99,101.60,101.60,999.99,22.77,22.77,9.84,7.03,4.88,6.77,19.29,22.83,8.21,2,235,0,110,1,353,0,165,1,102,1,153,6,102,3,153,9,140,6,210,82,140,40,210
18,999.99,999.99,999.99,5.19,3.54,3.54,10.32,10.71,3.80,5.97,15.21,12.42,2.45,10,235,0,110,10,353,1,165,0,86,0,129,5,102,5,153,0,185,0,280,23,185,23,280
20,999.99,7.82,7.82,999.99,5.59,5.59,6.35,36.41,5.92,35.02,19.01,25.71,2.30,10,235,0,110,7,353,0,165,0,110,0,165,23,102,14,153,0,140,0,210,194,140,121,210
21,999.99,999.99,999.99,999.99,999.99,999.99,256.07,287.31,82.97,287.31,999.99,999.99,92.50,0,235,0,110,0,353,0,165,0,110,0,165,0,86,0,129,1,140,0,210,1,140,1,210
22,999.99,999.99,999.99,999.99,3.64,3.64,9.67,16.50,3.00,17.52,17.53,10.98,6.07,1,235,0,110,1,353,0,165,2,94,3,141,14,110,13,165,6,185,10,280,33,185,32,280
23,999.99,999.99,999.99,999.99,999.99,999.99,8.34,17.04,5.21,14.62,16.40,10.44,7.71,11,180,0,83,55,270,2,125,0,102,0,153,18,94,46,141,0,185,0,280,28,185,71,280
24,999.99,19.22,19.22,999.99,9.41,9.41,13.58,46.35,8.82,46.61,52.05,40.22,4.01,9,235,1,110,10,353,1,165,31,86,31,129,17,86,15,129,342,185,345,280,317,185,287,280
25,999.99,999.99,999.99,999.99,999.99,999.99,67.05,243.34,12.02,289.55,999.99,57.28,22.36,6,235,0,110,20,353,1,165,0,86,2,129,3,86,29,129,0,185,20,280,53,185,553,280
26,999.99,999.99,999.99,999.99,999.99,999.99,139.70,88.71,31.07,80.67,79.14,999.99,11.29,2,235,0,110,1,353,0,165,1,102,0,153,2,102,1,153,2,185,1,280,39,185,13,280
27,999.99,999.99,999.99,999.99,999.99,999.99,38.51,26.78,8.78,27.49,46.90,62.34,35.17,0,180,0,83,0,270,0,125,0,86,0,129,0,102,0,153,0,185,0,280,0,185,0,280
28,999.99,999.99,999.99,999.99,999.99,999.99,47.35,49.89,15.43,42.37,999.99,999.99,10.38,2,235,0,110,0,353,0,165,0,86,0,129,2,86,0,129,0,140,0,210,18,140,0,210
