No, param001, param002, param003, param004, param005, param006, param007, param008, param009, param010, param011, param101, param102, param103, param104, param105, param106, param111, param112, param113, param114, param115, param116, param201, param202, param301, param302, param303, param304, param311, param314, param401, param402, param411, param412, param501
0,14,8.7,2.3,6,2.2,0,0.3,3.2,0.8,6.3,0.5,11, _Clay,44,35,130,63400,14, 砂質土, _Sandy,31,44,70,5, _SY390,47,1,0,1,74,1,1.7,0.1,0.9,0.2,0.2
1,18,9.9,7.7,17.3,7.6,1.4,2.5,2.6,5.7,6.7,5.1,14, _Clay,29,6,139,107200,14, 砂質土, _Sandy,37,26,142,4, _SY390,43,0,0,2,71,1,3.4,0.4,3.2,0.7,0.1
2,22,11.2,5,10.9,4.9,0.2,1.8,1.3,2.2,6.4,1.9,17, _Clay,14,22,149,151000,14, 砂質土, _Sandy,43,8,213,4, _SY295,39,1,1,2,69,1,3.8,1.6,4.9,1.1,0.4
3,30,7.2,6.5,16.4,6.4,0.4,2.5,1.5,6.1,5.5,4.4,17, _Sandy,24,22,66,135100,16, 砂質土, _Sandy,50,5,125,2, _SY390,58,1,1,2,62,2,2.8,0.8,4.7,0.8,0.5
4,13,8.4,3.8,10,3.7,0.8,1.4,6.1,2.3,1.4,2,11, _Sandy,8,38,76,178800,16, 砂質土, _Sandy,5,32,196,1, _SY390,54,0,1,1,59,2,2.7,0.1,2.3,0.9,0.4
5,17,9.7,9.2,11.8,9.1,0.8,5.2,6.5,8.3,0.5,8,14, _Clay,44,9,85,23600,16, 砂質土, _Sandy,11,15,268,5, _SY390,50,1,1,1,57,2,5.2,4.6,6,0,0.2
6,24,5.7,2.6,9.2,2.5,0.2,0.9,8.9,1.9,10,1.3,14, _Clay,3,9,3,7700,18, 粘性土, _Clay,17,11,179,3, _SY295,69,1,1,1,50,1,1.6,0.2,2.2,0.6,0.3
7,28,7,8,10.9,7.9,2.1,4.9,8.1,5.5,9.4,5.2,17, _Clay,39,25,12,51500,18, 砂質土, _Sandy,23,39,251,2, _SY295,65,0,0,1,47,1,7.7,0.3,6.8,0.2,0.2
8,12,8.2,5.3,14.1,5.2,0.7,3.4,2.6,4.4,3.1,4.1,20, _Sandy,24,41,21,95300,18, 砂質土, _Sandy,30,21,23,1, _SY295,61,0,0,2,45,1,4.1,2.8,4.2,1.3,0.5
9,19,4.2,6.8,10,6.7,0.9,4.5,3.8,5.6,2.9,4.8,20, _Sandy,34,41,239,79300,20, 粘性土, _Clay,36,17,234,4, _SY390,80,1,0,1,38,2,6.3,1.1,4.5,0.4,0.2
10,23,5.5,4.1,13.2,4,0,2.6,2.7,3.7,1.6,3.1,13, _Clay,18,12,248,123100,20, 粘性土, _Clay,42,45,6,3, _SY390,76,0,0,2,35,2,3,0,3.8,1.1,0.5
11,17,10.6,7.1,14.6,7,0.1,5,1.7,6.3,6.1,5.6,13, _Sandy,39,11,84,91300,14, 砂質土, _Sandy,4,38,128,4, _SY295,49,1,0,1,86,1,5.3,4.1,5,4,0.2
12,18,4,8.4,14.1,8.3,0.3,0.3,7.9,5.8,5.5,2.6,19, _Sandy,49,44,185,194700,13, 粘性土, _Clay,10,6,61,4, _SY390,87,0,1,1,89,1,5.5,0.2,1,0.2,0.3
13,25,13.1,9.9,19.6,9.8,0.5,0.2,10.7,6,4.9,5.4,19, _Sandy,8,44,103,178800,14, 砂質土, _Sandy,16,2,272,2, _SY295,41,0,1,2,82,2,1.2,0,6.8,0.1,0.4
14,30,1.2,7.2,13.2,7.1,1.5,0.7,10.4,1.8,3.5,1.6,12, _Clay,44,15,112,23600,14, 粘性土, _Clay,22,30,44,2, _SY295,37,1,1,1,80,2,4.6,0.1,4.3,0.5,0.3
15,24,6.4,2.1,6.5,2,0.3,0.4,7.9,1.6,9.6,0.6,12, _Sandy,13,14,247,190700,18, 粘性土, _Clay,35,23,166,2, _SY295,75,0,1,2,64,1,1.1,0.3,1.5,0,0.5
16,20,11.6,6,12.3,5.9,0.5,0.9,5.1,2.7,8.5,2.2,15, _Sandy,39,31,39,51400,16, 砂質土, _Sandy,35,9,27,4, _SY390,52,0,1,1,70,1,3.1,0.3,5.5,0.7,0.2
17,24,12.9,3.3,6,3.2,0.8,0.6,4.2,2.5,8.3,0.9,18, _Sandy,23,2,48,95200,17, 砂質土, _Sandy,41,36,98,3, _SY390,48,1,0,2,68,1,3,0,2.6,0.1,0.1
18,18,4.9,6.3,7.3,6.2,1.7,1.2,2.8,4.3,2.5,4.1,18, _Clay,44,1,184,63400,20, 粘性土, _Clay,2,29,221,4, _SY390,86,0,1,1,52,2,5.2,1.1,5.9,0.7,0.3
